pais,product_id,total_vendido
United States,"b""\x02'\x00\x00\x00\x00\x00\x00""",0.0
United States,b'\x02)\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02*\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02.\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x021\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x024\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02;\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02<\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02?\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02D\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02J\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02K\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02L\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02M\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02M\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02N\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02P\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02V\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02W\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02X\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02]\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02`\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02h\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02i\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02p\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02t\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02u\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02u\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02v\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02w\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02x\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02{\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02}\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02~\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x8b\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x8d\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x90\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x91\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x94\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x95\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x9a\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x9d\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x9d\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xa2\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xa6\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xab\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xae\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xb6\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xb7\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xb7\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xba\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xbb\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xbf\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xc1\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xc2\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xc3\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xc4\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xc6\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xc9\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xcb\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xcc\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xce\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xd2\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xd6\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xd7\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xd9\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xd9\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xe7\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xe8\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xeb\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xeb\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xed\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xf2\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xf3\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xf3\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xf5\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xf6\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xf8\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xfa\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\xfb\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x01\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x02\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\t\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x03\n\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x0c\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x10\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x11\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x16\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x16\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x18\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x18\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x19\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x19\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x1a\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x1b\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x1d\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x1f\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x1f\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x03 \x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03 \x02\x00\x00\x00\x00\x00',0.0
United States,"b'\x03""\x02\x00\x00\x00\x00\x00'",0.0
United States,b'\x03#\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03#\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03$\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03%\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03%\x01\x00\x00\x00\x00\x00',0.0
United States,"b""\x03'\x00\x00\x00\x00\x00\x00""",0.0
United States,b'\x03/\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x031\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x035\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x038\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x038\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x039\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03:\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03:\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03<\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03?\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03@\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03C\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03C\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03G\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03J\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03K\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03L\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03M\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03N\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03N\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03O\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03O\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03T\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03X\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03Y\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03[\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03b\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03i\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03i\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03m\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03m\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03o\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03r\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03s\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03u\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03u\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03x\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03y\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03z\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03{\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03{\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03~\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x7f\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x82\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x87\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x8d\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x8e\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x90\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x99\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x9a\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x9b\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\x9d\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xa0\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xa2\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xa3\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xa3\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xa5\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xa5\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xa6\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xa7\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xa7\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xac\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xaf\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xaf\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xb0\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xb1\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xb6\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xb8\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xb9\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xbc\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xc1\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xc3\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xc5\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xc5\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xc9\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xca\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xcf\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xd0\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xd3\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x03\xd3\x01\x00\x00\x00\x00\x00',0.0
